arquivo_moss,dataset,prevalencia_real,prev_moss,erro_moss,erro_dys,n_amostras,var_scores,entropy,prev_dyssyn,erro_dyssyn
moss_5_95.pkl,1494_qsar-biodeg.csv,0.95,0.939281667,0.010718333,0.026,100,0.051497667,2.076321629,0.977514363,0.027514363
moss_5_95.pkl,1496_ringnorm.csv,0.05,0.036954333,0.013045667,0.015,100,0.042240471,2.0844893,0.05711236,0.00711236
moss_5_95.pkl,1496_ringnorm.csv,0.1,0.077695667,0.022304333,0.013,100,0.058052778,2.245476418,0.109529958,0.009529958
moss_5_95.pkl,1496_ringnorm.csv,0.15,0.114511667,0.035488333,0.054,100,0.067621084,2.287716652,0.098612374,0.051387626
moss_5_95.pkl,1496_ringnorm.csv,0.2,0.171086,0.028914,0.062,100,0.07619476,2.344943609,0.173340315,0.026659685
moss_5_95.pkl,1496_ringnorm.csv,0.25,0.1941,0.0559,0.05,100,0.100650083,2.296338954,0.242681132,0.007318868
moss_5_95.pkl,1496_ringnorm.csv,0.3,0.274518333,0.025481667,0.038,100,0.131479488,2.175974746,0.268286272,0.031713728
moss_5_95.pkl,1496_ringnorm.csv,0.35,0.344481,0.005519,0.002,100,0.133508306,2.391664209,0.350764016,0.000764016
moss_5_95.pkl,1496_ringnorm.csv,0.4,0.391779,0.008221,0.018,100,0.134332972,2.488654917,0.390434866,0.009565134
moss_5_95.pkl,1496_ringnorm.csv,0.44,0.393451667,0.046548333,0.041,100,0.137774373,2.52183641,0.454242947,0.014242947
moss_5_95.pkl,1496_ringnorm.csv,0.49,0.484825667,0.005174333,0.005,100,0.145073443,2.386141943,0.475133944,0.014866056
moss_5_95.pkl,1496_ringnorm.csv,0.54,0.511211333,0.028788667,0.001,100,0.143520382,2.5075284,0.507478136,0.032521864
moss_5_95.pkl,1496_ringnorm.csv,0.6,0.583743,0.016257,0.027,100,0.145686723,2.383969647,0.59188354,0.00811646
moss_5_95.pkl,1496_ringnorm.csv,0.65,0.602086333,0.047913667,0.011,100,0.135438501,2.432068899,0.638978003,0.011021997
moss_5_95.pkl,1496_ringnorm.csv,0.7,0.654691,0.045309,1.11E-16,100,0.134747173,2.347779136,0.702362863,0.002362863
moss_5_95.pkl,1496_ringnorm.csv,0.75,0.755182667,0.005182667,0.051,100,0.118579938,2.233183008,0.721434137,0.028565863
moss_5_95.pkl,1496_ringnorm.csv,0.8,0.797692333,0.002307667,0.028,100,0.102076306,2.35690221,0.765482699,0.034517301
moss_5_95.pkl,1496_ringnorm.csv,0.85,0.831024667,0.018975333,0.065,100,0.086980778,2.134850678,0.832096786,0.017903214
moss_5_95.pkl,1496_ringnorm.csv,0.9,0.848532667,0.051467333,0.015,100,0.074534573,2.295223102,0.871606917,0.028393083
moss_5_95.pkl,1496_ringnorm.csv,0.95,0.897532,0.052468,0.004,100,0.062331701,2.08680491,0.959244766,0.009244766
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.05,0.037368,0.012632,0.015,100,0.041527338,0.885767982,0.051658276,0.001658276
moss_5_95.pkl,1497_wall-robot-navigation.csv,0.1,0.121212333,0.021212333,0.006,100,0.081470723,1.344740732,0.097622143,0.002377857
